"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 22 12:25:59 EET 2022","Tue Mar 22 12:26:00 EET 2022","1454","","Check autorization page (positive)","","Check autorization page (positive)","Check Get Iron VPN popup (secondary button)","Check Get Iron VPN popup (secondary button)",""
"passed","Tue Mar 22 12:25:49 EET 2022","Tue Mar 22 12:25:51 EET 2022","1855","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test@test.com..","Check email field validation test@test.com..",""
"passed","Tue Mar 22 12:25:43 EET 2022","Tue Mar 22 12:25:44 EET 2022","1662","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test@@test.com","Check email field validation test@@test.com",""
"passed","Tue Mar 22 12:25:42 EET 2022","Tue Mar 22 12:25:43 EET 2022","1145","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test","Check email field validation test",""
"passed","Tue Mar 22 12:26:54 EET 2022","Tue Mar 22 12:26:57 EET 2022","3109","","Check payment page (positive)","","Check payment page (positive)","Check Get Iron VPN primary button","Check Get Iron VPN primary button",""
"passed","Tue Mar 22 12:27:34 EET 2022","Tue Mar 22 12:27:46 EET 2022","11364","","Check user flow","","Check user flow","Check login and payment (invalid cvv)","Check login and payment (invalid cvv)",""
"passed","Tue Mar 22 12:25:47 EET 2022","Tue Mar 22 12:25:49 EET 2022","1496","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test.@test.com","Check email field validation test.@test.com",""
"passed","Tue Mar 22 12:27:10 EET 2022","Tue Mar 22 12:27:18 EET 2022","7834","","Check payment page (positive)","","Check payment page (positive)","Check close payment popup","Check close payment popup",""
"passed","Tue Mar 22 12:25:57 EET 2022","Tue Mar 22 12:25:59 EET 2022","1358","","Check autorization page (positive)","","Check autorization page (positive)","Check Get Iron VPN popup (primary button)","Check Get Iron VPN popup (primary button)",""
"passed","Tue Mar 22 12:27:21 EET 2022","Tue Mar 22 12:27:34 EET 2022","12768","","Check user flow","","Check user flow","Check login and payment (invalid date)","Check login and payment (invalid date)",""
"passed","Tue Mar 22 12:26:08 EET 2022","Tue Mar 22 12:26:14 EET 2022","6854","","Check payment page (negative)","","Check payment page (negative)","Check empty fields validation","Check empty fields validation",""
"passed","Tue Mar 22 12:25:44 EET 2022","Tue Mar 22 12:25:46 EET 2022","1585","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test@test..com","Check email field validation test@test..com",""
"passed","Tue Mar 22 12:26:39 EET 2022","Tue Mar 22 12:26:45 EET 2022","6269","","Check payment page (negative)","","Check payment page (negative)","Check data field validation Date: 01/","Check data field validation Date: 01/",""
"passed","Tue Mar 22 12:26:45 EET 2022","Tue Mar 22 12:26:51 EET 2022","6086","","Check payment page (negative)","","Check payment page (negative)","Check cvv validation","Check cvv validation",""
"passed","Tue Mar 22 12:26:14 EET 2022","Tue Mar 22 12:26:21 EET 2022","6331","","Check payment page (negative)","","Check payment page (negative)","Check card number field validation Card number: 11111111111","Check card number field validation Card number: 11111111111",""
